Power,1W,3W,5W,3I,4I,5I,6I,7I,8I,9I,PW,SW,LW,P
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,,,0.000685133,,0.000432232,0.000951214,0.001450991,0.002724889,0.003512837,,0.006519277,0.015834563,0.032612098,
0.02,0.009421149,0.005253201,0.00417258,0.003201907,0.002465292,0.002302249,0.00160271,0.000624551,0.000335949,0.003038436,0.0038382,0.012822419,0.029456414,0.001615327
0.03,0.02096191,0.01242081,0.009823742,0.008756125,0.006767863,0.005313992,,0.003676267,0.002106721,0.000229366,0.001622534,0.009673441,0.02625713,0.001211608
0.04,0.037825228,0.023568699,0.018929936,0.015799922,0.012097128,0.009556755,0.007842863,,0.005949078,0.004038315,0.00247073,0.004296676,0.022244179,0.002265151
0.05,0.057021238,0.037331593,0.030818221,0.026371133,0.021038254,0.015760313,0.013042135,0.011060399,,0.007675847,0.006114845,0.001100823,0.016583808,0.003551127
0.06,0.078714046,0.053392502,0.044055211,0.035882296,0.030154357,0.024584531,0.020237297,,,,0.010158181,0.00377275,0.013192348,0.005009924
0.07,0.102247171,0.071239868,0.059459761,0.051161088,0.042819087,0.033178092,0.027506485,0.02279651,,0.016721472,,0.009138162,0.00876325,0.006046608
0.08,0.125482613,0.090254117,0.076627774,0.063390553,0.055460183,0.044395667,0.037785416,0.031219669,0.027234702,0.022042335,0.01903025,0.014261856,0.001532393,0.008518566
0.09,0.149372653,0.108521882,0.094761559,0.078222229,0.070587348,0.057544273,0.04720697,0.041485686,0.033435582,0.028878956,,0.019091275,0.002966319,0.009955691
0.09999999,0.174097772,0.129308942,0.112647433,0.095991484,0.084638674,0.069460532,0.058547411,0.050201531,0.041682005,0.034510947,0.029960191,0.025268287,0.011308009,0.012814211
0.11,0.197231724,0.15006432,0.132271618,0.112122311,0.099308616,0.08420455,0.072415582,0.062513685,0.05080814,0.04407827,0.037745324,,0.017203985,0.020234827
0.12,0.219930318,0.169198054,0.152078648,0.129131317,0.116954785,0.098840377,0.084279916,0.073527578,0.060546123,0.051044349,0.044658332,,0.024035636,0.021919505
0.13,0.241975515,0.190401337,0.171031706,0.152662227,0.13402144,0.113733212,0.096972945,0.085512121,0.072163566,0.061086818,0.053648288,,0.030465806,0.027310228
0.14,0.263639479,0.211296849,0.190851132,0.165681692,0.149790192,0.130465778,0.111024274,0.099718223,0.084200951,0.073449773,0.061438291,0.051012476,0.038294069,0.030987453
0.15,0.284896072,0.229957968,0.211141389,0.183094971,0.168559956,0.146792231,0.127630297,0.112135865,0.095201855,0.083415685,0.069926062,,0.048207401,0.033382618
0.16,0.303682174,0.25035424,0.228285012,0.200311372,0.184594905,0.162762625,0.141322171,0.127709331,0.108641052,0.094517946,0.081116917,0.067220556,0.054245349,0.039501161
0.17,0.323519336,0.268249837,0.248059147,0.217653645,0.202440074,0.17934824,0.157079481,0.14060808,0.120523952,0.106404639,0.090630889,0.075075378,0.06313181,0.043890956
0.18,0.349603657,0.28618401,0.267621475,0.241966398,0.218684128,0.194254712,0.171239159,0.155591988,0.133377917,0.117375625,0.102608521,0.0845983,0.070382944,0.047008391
0.19,0.366894149,0.312327697,0.284010491,0.261815876,0.236262286,0.212392329,0.185275434,0.170783012,0.147054361,0.130878198,0.113596543,0.094340165,,0.053813807
0.2,0.385478744,0.329096903,0.303000335,0.278180243,0.253679142,0.227307319,0.203004628,0.185578402,0.159531838,0.142774609,0.126185061,0.105307675,,0.058904144
0.21,0.40275243,0.346889718,0.318768007,0.294650562,0.271245338,0.24410056,0.219399433,0.199513432,0.176299207,0.157275061,0.137527869,0.11546333,,0.062748637
0.22,0.418150986,0.362707834,0.334079529,0.311949561,0.286798688,0.260075356,0.23385369,0.216467453,0.19150105,0.16970768,0.151524348,0.128371391,,0.068219201
0.23,0.435539917,0.38092848,0.352352555,0.327378609,0.304015454,0.276954776,0.248843444,0.230290789,0.20479207,0.184203019,0.163436302,0.137453422,0.114254313,0.07597913
0.24,0.449896468,0.396024861,0.367229349,0.344530744,0.318973205,0.291330437,0.264956932,0.246421213,0.220334891,0.197263486,0.177719639,0.148619333,,0.081973156
0.25,0.464176533,0.412364665,0.383347909,0.358500253,0.33390812,0.306547224,0.279042466,0.259980126,0.233510499,0.212434134,0.189716641,0.161013811,,0.08670305
0.26,0.479199172,0.426585233,0.399189593,0.373339054,0.35056549,0.323477032,0.295622631,0.276173588,0.247988688,0.225178594,0.204506992,0.173032664,0.147425279,0.09506221
0.27,0.492567911,0.441152877,0.414720746,0.389527236,0.365095969,0.339666344,0.309749897,0.291405105,0.259903361,0.240909937,0.215706576,0.186947899,0.156874138,0.101720053
0.28,0.505601892,0.456236922,0.428411656,0.404024013,0.381529055,0.353847059,0.325915255,0.307272945,0.274924787,0.252457587,0.22812302,0.198476873,0.170974394,0.108588523
0.29,0.519929289,0.468374647,0.443609291,0.419895542,0.394258691,0.367680041,0.33982526,0.320875595,0.288400021,0.265650212,0.243681461,0.213583224,0.180260631,0.11419832
0.3,0.532153469,0.481547855,0.456612225,0.433509376,0.407919582,0.383159052,0.354203683,0.336644121,0.303944418,0.279450425,0.256305035,0.224422734,0.191048805,0.121431609
0.31,0.543434082,0.496261072,0.46952129,0.44580242,0.423757523,0.396850011,0.36796284,0.350072418,0.31736475,0.294278307,0.271733483,0.232640445,0.203519997,0.130903401
0.32,0.556734566,0.508896426,0.483983213,0.459482967,0.437184524,0.412018181,0.381216711,0.363116758,0.333113978,0.307522811,0.28330545,0.250990029,0.215864251,0.138612431
0.33,0.568125622,0.52275038,0.496413703,0.474071486,0.45067514,0.425363273,0.394819284,0.378642162,0.346654102,0.323234778,0.296333461,0.264221567,0.229377397,0.146521729
0.34,0.581105753,0.533954905,0.510581983,0.485867399,0.464120673,0.438689799,0.410010886,0.391963631,0.362323722,0.335049017,0.311977291,0.27838585,0.239326298,0.153154328
0.35,0.591194475,0.545861627,0.521256231,0.498914297,0.476949719,0.450145204,0.42332569,0.407009874,0.373870844,0.347891491,0.325037289,0.289683396,0.251669981,0.161414346
0.36,0.601869367,0.556418735,0.533030437,0.511567525,0.489587104,0.464447222,0.434815362,0.418409886,0.386652501,0.363821009,0.33627493,0.302725858,0.26606874,0.171891886
0.37,0.61151906,0.569385077,0.544749284,0.523822362,0.502526254,0.476680925,0.449819197,0.431087246,0.402363415,0.376892079,0.351992487,0.318153316,0.27837379,0.180595034
0.38,0.623433863,0.579522321,0.557718923,0.534432116,0.514793004,0.491261675,0.462430861,0.446307789,0.413655242,0.38818614,0.36465705,0.330306885,0.288759075,0.189486856
0.39,0.632680885,0.590737189,0.567977176,0.548360799,0.525787452,0.503345508,0.473504957,0.458743487,0.426397125,0.403428863,0.37582683,0.341324963,0.304635792,0.197118959
0.4,0.641740978,0.600497094,0.578750107,0.558776079,0.539492792,0.514004815,0.48810397,0.470845347,0.441321013,0.416549603,0.391796052,0.358670217,0.316917529,0.206345269
0.41,0.651536443,0.612842068,0.589131113,0.570283502,0.550154212,0.527694052,0.500285004,0.481849347,0.454165691,0.427317302,0.404344262,0.370398698,0.327536706,0.215754046
0.42,0.66193317,0.622097447,0.601065379,0.580358346,0.561495281,0.539308466,0.510691445,0.496306572,0.46477463,0.442959593,0.41539653,0.38144048,0.343461571,0.227350315
0.43,0.670469859,0.631334054,0.610422645,0.590516905,0.571842704,0.549712248,0.525090709,0.508235267,0.479965318,0.455523235,0.43126986,0.397898421,0.356140773,0.237160373
0.44,0.679623589,0.643177951,0.621218442,0.602953765,0.585086789,0.562967475,0.53522254,0.522459805,0.490608192,0.466386929,0.44184942,0.408947235,0.367316802,0.247143997
0.45,0.687977121,0.652096213,0.631410105,0.612549509,0.594719221,0.57309085,0.546859271,0.532500023,0.502725535,0.481489036,0.454804318,0.421719394,0.381861149,0.257298268
0.46,0.697439885,0.660863922,0.641542798,0.622227679,0.605846881,0.58386787,0.557208209,0.544054656,0.513232789,0.491857231,0.470190891,0.436628846,0.395532729,0.267621018
0.47,0.705373597,0.670506985,0.650293924,0.634642645,0.615373288,0.597145587,0.570626856,0.554060111,0.527730076,0.504071227,0.480941092,0.447920466,0.406421482,0.276649156
0.48,0.713301136,0.679399197,0.661800161,0.643806512,0.626824007,0.606619623,0.580727452,0.567824031,0.539209388,0.517608322,0.493326777,0.463107173,0.42148557,0.287276626
0.49,0.721715035,0.68922844,0.670274893,0.652836008,0.637107543,0.615779276,0.59226331,0.579218907,0.549655256,0.529632853,0.503593631,0.47433495,0.432403917,0.298066067
0.5,0.729644631,0.697437992,0.678620054,0.661734137,0.646231598,0.626444804,0.603506278,0.588678866,0.559460815,0.539654368,0.518724241,0.486605379,0.445254494,0.309014413
0.51,0.738189552,0.705520358,0.686838852,0.673611618,0.655231051,0.635546079,0.613253052,0.60210327,0.573784577,0.554281109,0.529466394,0.497421185,0.462952108,0.322123886
0.52,0.745479472,0.7132794,0.697824393,0.682253025,0.664891576,0.647745233,0.623730001,0.611552416,0.583383962,0.564716203,0.544493065,0.514393736,0.472085336,0.333407207
0.53,0.752780709,0.723887075,0.705797686,0.690774657,0.676371293,0.656606775,0.632979067,0.622476403,0.594881496,0.57636092,0.554460921,0.524730962,0.48578137,0.344839747
0.54,0.75983568,0.731612405,0.713654244,0.699178231,0.685009173,0.665356823,0.646044915,0.631719028,0.606933658,0.586287829,0.564975212,0.535765554,0.499829481,0.356418963
0.55,0.766608027,0.739369148,0.721186671,0.707241799,0.693533778,0.677661728,0.655077385,0.643142017,0.618216023,0.595881439,0.576442762,0.546699562,0.512640569,0.368141675
0.56,0.775190677,0.746868073,0.730007598,0.717559199,0.70170995,0.686188791,0.664004375,0.653730812,0.627430802,0.610312781,0.586813215,0.562852436,0.523882825,0.380005228
0.57,0.781750369,0.754057465,0.739231281,0.725628347,0.712123526,0.694610581,0.67282998,0.662664737,0.636777578,0.619727655,0.601464706,0.573278235,0.538948816,0.392007043
0.58,0.788528547,0.763285261,0.746658606,0.733593175,0.720501327,0.703881727,0.685000773,0.675343611,0.650209299,0.631947394,0.611320506,0.585714195,0.549663244,0.404144613
0.59,0.794045205,0.770472737,0.754138081,0.741454542,0.728599566,0.71283945,0.693621048,0.684077503,0.659370344,0.643245242,0.620829636,0.597954994,0.562346157,0.416414572
0.6,0.800635424,0.777361022,0.761362023,0.748991786,0.737570927,0.72248527,0.70214557,0.692717324,0.668442611,0.652643391,0.641430455,0.612591062,0.573471277,0.428814677
0.61,0.806998583,0.784364999,0.768489688,0.757163967,0.747766108,0.730688381,0.7105769,0.702288112,0.6774261,0.661959493,0.651164651,0.622777532,0.584074564,0.441342309
0.62,0.814858552,0.79024883,0.775317692,0.766381496,0.755565755,0.739531739,0.718914526,0.710741416,0.690720566,0.673029503,0.660819051,0.634863545,0.598990875,0.453994104
0.63,0.821046786,0.797222544,0.784348822,0.773856491,0.763271611,0.747364482,0.731063814,0.727693977,0.699527667,0.68481269,0.665593531,0.646941657,0.609152163,0.466767816
0.64,0.826975376,0.803952997,0.791203303,0.781019814,0.770648969,0.757391197,0.739212496,0.736031045,0.708250664,0.693880758,0.681762994,0.656627819,0.626251725,0.479660829
0.65,0.832124692,0.812199708,0.797758925,0.78848794,0.778182647,0.765223941,0.74700377,0.745627783,0.716889555,0.704670547,0.692984676,0.666545567,0.637206326,0.492669775
0.66,0.838213802,0.818911773,0.804451341,0.795698915,0.787941041,0.772784411,0.754982964,0.753501531,0.729599373,0.713580833,0.702331076,0.682744426,0.64762444,0.505792413
0.67,0.844085455,0.825390155,0.811211551,0.804603484,0.795293479,0.780260664,0.76287972,0.755404011,0.738068302,0.722412227,0.713005368,0.69083548,0.658860036,0.519026122
0.68,0.850168734,0.831594247,0.819677458,0.811817464,0.802323764,0.787401002,0.773117032,0.771321264,0.746457214,0.740780619,0.722559784,0.700985446,0.669169862,0.532368287
0.69,0.854568616,0.8369249,0.82591256,0.818779445,0.809519883,0.794720303,0.781037853,0.779231774,0.754457139,0.749541327,0.735456779,0.71065778,0.682885404,0.545815166
0.7,0.862004992,0.843187221,0.832438899,0.825436192,0.816807528,0.804259895,0.788683195,0.788088389,0.762693026,0.758375877,0.744501727,0.72547139,0.69539913,0.55936489
0.71,0.86740915,0.851331265,0.838730162,0.831342091,0.822509326,0.811596901,0.796249169,0.795838873,0.770853569,0.766980696,0.753837214,0.735008375,0.705201778,0.573015589
0.72,0.873067463,0.857239614,0.844740619,0.837852446,0.829648807,0.81867264,0.803470025,0.80523828,0.787993512,0.778630714,0.760984782,0.744479939,0.715309113,0.586763149
0.73,0.877540402,0.863425701,0.85016018,0.846711509,0.838691758,0.825419163,0.811984819,0.812830359,0.797757311,0.787087849,0.771190527,0.753886475,0.730014368,0.6006057
0.74,0.883065635,0.868424984,0.856038257,0.853299997,0.845265319,0.832355656,0.820878526,0.82034729,0.8057549,0.795473035,0.783800392,0.767410044,0.740032543,0.614539877
0.75,0.888214265,0.874327587,0.864167999,0.85959613,0.852185954,0.839399813,0.828143418,0.827507405,0.813372263,0.803786272,0.792486597,0.776690634,0.749622518,0.628564184
0.76,0.892640214,0.879967392,0.870112266,0.865159447,0.858854665,0.853058426,0.835337135,0.834885394,0.821231429,0.812029454,0.801103917,0.785906828,0.759523746,0.640696892
0.77,0.899648195,0.887729881,0.875787361,0.87132679,0.865214363,0.860007838,0.842190343,0.842192561,0.830895937,0.82020258,0.809652354,0.795058548,0.773985689,0.654920905
0.78,0.904614697,0.891031707,0.881760912,0.877815251,0.873934254,0.86670029,0.849255026,0.853023018,0.838607334,0.830289922,0.818132589,0.804145794,0.783789002,0.669228689
0.79,0.909061911,0.898137968,0.886603215,0.884657027,0.877100964,0.873325272,0.858907583,0.85989768,0.846249812,0.838320413,0.82654735,0.816552362,0.793536935,0.683618002
0.8,0.913925516,0.903534513,0.892300373,0.889167267,0.885865711,0.879637786,0.865824285,0.865524566,0.853514401,0.847491986,0.836369117,0.825509237,0.802858856,0.699520444
0.81,0.918084961,0.908120446,0.898614502,0.897123509,0.892204567,0.889453478,0.872676469,0.872561417,0.861030137,0.855627876,0.844653612,0.834404482,0.815061423,0.714037284
0.82,0.923155046,0.913752589,0.905438094,0.903361687,0.89824619,0.894483584,0.879200432,0.879740995,0.870344791,0.863454512,0.852873998,0.843238097,0.828990494,0.728625928
0.83,0.927855044,0.918969466,0.909905721,0.909144806,0.903600914,0.90060278,0.886129422,0.88621559,0.877720351,0.872604627,0.861294214,0.852010872,0.836692486,0.743285256
0.84,0.931867346,0.923607115,0.91552666,0.914246623,0.909531074,0.907101914,0.898838887,0.898191103,0.885032833,0.8803063,0.874997357,0.860722808,0.846163991,0.758011899
0.85,0.938465111,0.928727454,0.920725988,0.919923705,0.91581148,0.913349351,0.898224945,0.904957639,0.891980275,0.887945491,0.883015182,0.873680884,0.8555824,0.770840587
0.86,0.941089674,0.93599308,0.926244232,0.925937787,0.924048367,0.918444534,0.912130035,0.911382496,0.89917536,0.89576266,0.890968898,0.880596862,0.864946475,0.785741506
0.87,0.947072456,0.940281354,0.930511284,0.930655809,0.927467,0.924230686,0.918869057,0.918037121,0.906529894,0.901543175,0.898861913,0.889130229,0.873723059,0.800703758
0.88,0.950907433,0.945240414,0.935920816,0.93845321,0.93465315,0.933341532,0.925348472,0.926288769,0.916945509,0.909005649,0.910428288,0.897605916,0.889420788,0.817134262
0.89,0.955324464,0.949635186,0.947826199,0.943913923,0.940713803,0.93935737,0.931500179,0.932533056,0.919251393,0.916646102,0.912888334,0.906327334,0.898618721,0.832174676
0.9,0.959073007,0.954509584,0.951081144,0.94848169,0.946538391,0.945069831,0.937875137,0.939009272,0.929555451,0.927997597,0.924340811,0.919580127,0.907762511,0.84726857
0.91,0.963718469,0.959674361,0.957248051,0.954236045,0.951246543,0.949910447,0.942977152,0.945629297,0.934869266,0.935280831,0.930291434,0.927871715,0.916852347,0.860449548
0.92,0.967387095,0.963736614,0.962491104,0.959765876,0.956732667,0.955779382,0.94944479,0.951984953,0.941719753,0.942742043,0.937902775,0.936409823,0.925888135,0.875702758
0.93,0.971809271,0.968463906,0.96663781,0.964200559,0.962590331,0.961773208,0.957500279,0.957137706,0.948736115,0.949389098,0.945718041,0.944582892,0.936317953,0.892433943
0.94,0.97614913,0.972438815,0.971633354,0.969413995,0.96698222,0.967527779,0.963388283,0.963390642,0.955005458,0.960252729,0.95263645,0.952699072,0.945247833,0.907736518
0.95,0.979570116,0.979308712,0.976381386,0.973755949,0.97494906,0.974508773,0.969693091,0.969311631,0.967228166,0.967295503,0.963757466,0.962195604,0.954126424,0.923081353
0.96,0.983083711,0.981766214,0.980400125,0.979278052,0.980234461,0.979124966,0.974366012,0.977105906,0.973533722,0.974282106,0.971139648,0.970205907,0.962951157,0.93650168
0.97,0.989172477,0.987960729,0.985424551,0.986652591,0.984912708,0.984731199,0.980571483,0.982912281,0.979110365,0.980881827,0.978720981,0.978160901,0.972088,0.951994986
0.98,0.992617473,0.991781254,0.98936667,0.990875629,0.990117004,0.990036927,0.985880364,0.988963562,0.985317798,0.986707152,0.985985174,0.984342852,0.980805207,0.968940462
0.9899999,0.99662566,0.996256858,0.995103942,0.995862393,0.995684232,0.994777533,0.995296356,0.993834105,0.991790396,0.993207154,0.993194806,0.9921975,0.991390319,0.984454337
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
